<TICKER>,<NAME>
AA,Alcoa Corporation
AAPL,APPLE
AIG,American International Group Inc
AMGN,AMGEN
AMZN,Amazon.com Inc
AXP,AMERICAN EXPRESS
BA,BOEING
BAC,Bank of America Corporation
C,Citigroup Inc
CAT,CATERPILLAR
CRM,SALESFORCE
CSCO,CISCO SYSTEMS
CVX,Chevron Corporation
DD,DuPont de Nemours Inc
DIS,WALT DISNEY
DOW,DOW
GE,General Electric Company
GM,General Motors Company
GS,GOLDMAN SACHS GROUP
GT,The Goodyear Tire & Rubber Company
HD,HOME DEPOT
HON,HONEYWELL INT
HPQ,Hewlett-Packard Company
IBM,INT BUSINESS MACHINES
INTC,INTEL
IP,International Paper Company
JNJ,JOHNSON & JOHNSON
JPM,JPMORGAN CHASE
KO,COCA-COLA
KODK,Eastman Kodak Company
MCD,MCDONALD'S
MMM,3M
MO,Altria Group Inc
MRK,MERCK
MSFT,MICROSOFT
NKE,NIKE
NVDA,Nvidia Corporation
PFE,Pfizer Inc
PG,PROCTER & GAMBLE
RTX,RTX Corporation
SHW,The Sherwin-Williams Company
T,AT&T Inc
TRV,TRAVELERS COS
UNH,UNITEDHEALTH GROUP
V,VISA
VZ,VERIZON COMMUNICATIONS
WBA,WALGREENS BOOTS ALLIANCE
WMT,WALMART
XOM,Exxon Mobil Corporation
