<TICKER>,<NAME>
ARGT,Global X MSCI Argentina ETF
BIB,ProShares Ultra Nasdaq Biotechnology
BIL,SPDR Bloomberg 1-3 Month T-Bill Fund
BITO,ProShares Bitcoin Strategy ETF
COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF
CORN,Teucrium Corn Fund
DBC,Invesco DB Commodity Index Tracking Fund
DBMF,iMGP DBi Managed Futures Strategy Fund
DFJ,WisdomTree Japan SmallCap Dividend Fund
DJD,Invesco Dow Jones Industrial Average Dividend ETF
DVY,iShares Select Dividend ETF
EEM,iShares MSCI Emerging Markets ETF
EFA,iShares MSCI EAFE ETF
EUO,ProShares UltraShort Euro
EWC,iShares MSCI Canada Fund
EWS,iShares MSCI Singapore Fund
FUTY,Fidelity MSCI Utilities Index ETF
FXA,Invesco CurrencyShares Australian Dollar Trust
FXE,Invesco CurrencyShares Euro Currency Trust
GCOW,Pacer Global Cash Cows Dividend ETF
GLD,SPDR Gold Shares
HYG,iShares iBoxx $ High Yield Corporate Bond ETF
ICOW,Pacer Developed Markets International Cash Cows 100 ETF
ITA,iShares U.S. Aerospace & Defense Fund
ITB,iShares U.S. Home Construction ETF
IWM,iShares Russell 2000 ETF
IXJ,iShares Global Healthcare ETF
JNK,SPDR Bloomberg High Yield Bond ETF
KEMX,KraneShares MSCI Emerging Markets ex China Index Fund
KEMX,KraneShares MSCI Emerging Markets ex China Index Fund
KLIP,KraneShares China Internet & Covered Call Strategy Fund
KSTR,KraneShares SSE STAR Market 50 Index Fund
KWEB,KraneShares CSI China Internet ETF
LQD,iShares iBoxx Investment Grade Corporate Bond Fund
MTUM,iShares MSCI USA Momentum Factor ETF
OCSL,Oaktree Specialty Lending
PSQ,ProShares Short QQQ Fund 
QQQ,Invesco QQQ Trust
QTEC,First Trust NASDAQ-100 Technology Index Fund
ROM,ProShares Ultra Technology
RSP,Invesco S&P 500 Equal Weight Fund
SATO,Invesco Alerian Galaxy Crypto Economy ETF
SCHH,Schwab U.S. REIT ETF
SH,ProShares Short
SKF,ProShares UltraShort Financials Fund
SLYV,SPDR S&P 600 Small Cap Value Fund
SLYV,SPDR S&P 600 Small Cap Value Fund
SMH,VANECK VECTORS SEMICONDUCTOR ETF
SOYB,Teucrium Soybean Fund
SPIP,SPDR Portfolio TIPS Fund
SPY,SPDR S&P 500 Fund
SPYV,SPDR Portfolio S&P 500 Value Fund
SYLD,Cambria Shareholder Yield Fund
TAIL,Cambria Tail Risk ETF
TAN,Invesco Solar Fund
TLT,iShares 20+ Year Treasury Bond ETF
TUR,iShares MSCI Turkey ETF
UDN,Invesco DB US Dollar Index Bearish Fund
ULE,ProShares Ultra Euro
URA,Global X Uranium Fund
URNM,Sprott Uranium Miners Fund
USCI,United States Commodity Index Fund
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund
USO,United States Oil Fund
UUP,Invesco DB US Dollar Index Bullish Fund
VNQ,Vanguard Real Estate Index Fund
VOO,Vanguard 500 Index Fund
VPU,Vanguard Utilities Index Fund
VTIP,Vanguard Short-Term TIPS Fund
WEAT,Teucrium Wheat Fund
WOOD,iShares Global Timber & Forestry ETF
XBI,SPDR S&P Biotech Fund
XLE,Energy Select Sector SPDR Fund
XLK,Technology Select Sector SPDR Fund
XLP,Consumer Staples Select Sector SPDR Fund
XLU,Utilities
XLV,Healthcare Select Sector SPDR Fund
XLY,Consumer Discretionary Select Sector SPDR Fund
XME,SPDR S&P Metals and Mining ETF
XOP,SPDR S&P Oil & Gas Exploration & Production ETF
